Division,Date,Time,Home_Team,Away_Team,Year,Full_Time_Home_Goals,Full_Time_Away_Goals,Full_Time_Result,Half_Time_Home_Goals,Half_Time_Away_Goals,Half_Time_Result,Referee,Home_Team_Shots,Away_Team_Shots,Home_Team_Shots_On_Target,Away_Team_Shots_On_Target,Home_Team_Fouls_Commited,Away_Team_Fouls_Commited,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Away_Team_Red_Cards,Winner,Result,Total_Goals_Scored,Goal_Difference_Home_Team,Goal_Difference_Away_Team,Unique_Key
E0,24/09/2023,14:00,Chelsea,Aston Villa,23-24,0.0,1.0,AWAY,0.0,0.0,D,J Gillett,10.0,15.0,4.0,7.0,9.0,11.0,5.0,11.0,2.0,3.0,0.0,0.0,Aston Villa,Away Team Win,1.0,-1.0,1.0,E0-24/09/2023-14:00-Chelsea-Aston Villa
E0,24/09/2023,14:00,Liverpool,West Ham,23-24,3.0,1.0,HOME,1.0,1.0,D,C Kavanagh,22.0,11.0,7.0,4.0,12.0,13.0,7.0,4.0,0.0,2.0,0.0,0.0,Liverpool,Home Team Win,4.0,2.0,-2.0,E0-24/09/2023-14:00-Liverpool-West Ham
E0,24/09/2023,16:30,Sheffield United,Newcastle,23-24,0.0,8.0,AWAY,0.0,3.0,A,S Attwell,9.0,22.0,1.0,15.0,12.0,8.0,2.0,6.0,3.0,0.0,0.0,0.0,Newcastle,Away Team Win,8.0,-8.0,8.0,E0-24/09/2023-16:30-Sheffield United-Newcastle
E0,30/09/2023,12:30,Aston Villa,Brighton,23-24,6.0,1.0,HOME,3.0,0.0,H,A Madley,19.0,11.0,9.0,3.0,19.0,21.0,1.0,3.0,4.0,4.0,0.0,0.0,Aston Villa,Home Team Win,7.0,5.0,-5.0,E0-30/09/2023-12:30-Aston Villa-Brighton
E0,30/09/2023,15:00,Bournemouth,Arsenal,23-24,0.0,4.0,AWAY,0.0,2.0,A,M Salisbury,8.0,15.0,1.0,8.0,11.0,10.0,6.0,6.0,0.0,1.0,0.0,0.0,Arsenal,Away Team Win,4.0,-4.0,4.0,E0-30/09/2023-15:00-Bournemouth-Arsenal
E0,30/09/2023,15:00,Everton,Luton,23-24,1.0,2.0,AWAY,1.0,2.0,A,A Taylor,23.0,9.0,5.0,2.0,8.0,10.0,3.0,6.0,0.0,1.0,0.0,0.0,Luton,Away Team Win,3.0,-1.0,1.0,E0-30/09/2023-15:00-Everton-Luton
E0,30/09/2023,15:00,Man United,Crystal Palace,23-24,0.0,1.0,AWAY,0.0,1.0,A,C Kavanagh,19.0,8.0,4.0,2.0,10.0,8.0,10.0,4.0,3.0,2.0,0.0,0.0,Crystal Palace,Away Team Win,1.0,-1.0,1.0,E0-30/09/2023-15:00-Man United-Crystal Palace
E0,30/09/2023,15:00,Newcastle,Burnley,23-24,2.0,0.0,HOME,1.0,0.0,H,T Bramall,20.0,8.0,8.0,2.0,7.0,15.0,5.0,3.0,1.0,3.0,0.0,0.0,Newcastle,Home Team Win,2.0,2.0,-2.0,E0-30/09/2023-15:00-Newcastle-Burnley
E0,30/09/2023,15:00,West Ham,Sheffield United,23-24,2.0,0.0,HOME,2.0,0.0,H,G Scott,20.0,16.0,9.0,2.0,6.0,9.0,7.0,4.0,1.0,1.0,0.0,0.0,West Ham,Home Team Win,2.0,2.0,-2.0,E0-30/09/2023-15:00-West Ham-Sheffield United
E0,30/09/2023,15:00,Wolves,Man City,23-24,2.0,1.0,HOME,1.0,0.0,H,C Pawson,3.0,23.0,1.0,8.0,18.0,12.0,0.0,6.0,5.0,4.0,0.0,0.0,Wolves,Home Team Win,3.0,1.0,-1.0,E0-30/09/2023-15:00-Wolves-Man City
E0,30/09/2023,17:30,Tottenham,Liverpool,23-24,2.0,1.0,HOME,1.0,1.0,D,S Hooper,24.0,12.0,8.0,4.0,11.0,17.0,12.0,5.0,5.0,4.0,0.0,2.0,Tottenham,Home Team Win,3.0,1.0,-1.0,E0-30/09/2023-17:30-Tottenham-Liverpool
E0,01/10/2023,14:00,Nott'm Forest,Brentford,23-24,1.0,1.0,DRAW,0.0,0.0,D,P Tierney,6.0,18.0,1.0,5.0,6.0,10.0,1.0,11.0,1.0,2.0,1.0,0.0,Draw,Draw,2.0,0.0,0.0,E0-01/10/2023-14:00-Nott'm Forest-Brentford
E0,02/10/2023,20:00,Fulham,Chelsea,23-24,0.0,2.0,AWAY,0.0,2.0,A,T Robinson,10.0,11.0,3.0,4.0,15.0,12.0,8.0,1.0,1.0,4.0,0.0,0.0,Chelsea,Away Team Win,2.0,-2.0,2.0,E0-02/10/2023-20:00-Fulham-Chelsea
E0,03/10/2023,19:30,Luton,Burnley,23-24,1.0,2.0,AWAY,0.0,1.0,A,P Bankes,18.0,14.0,3.0,4.0,14.0,6.0,7.0,6.0,4.0,2.0,0.0,0.0,Burnley,Away Team Win,3.0,-1.0,1.0,E0-03/10/2023-19:30-Luton-Burnley
E0,07/10/2023,12:30,Luton,Tottenham,23-24,0.0,1.0,AWAY,0.0,0.0,D,J Brooks,12.0,15.0,2.0,4.0,16.0,7.0,5.0,6.0,2.0,1.0,0.0,1.0,Tottenham,Away Team Win,1.0,-1.0,1.0,E0-07/10/2023-12:30-Luton-Tottenham
E0,07/10/2023,15:00,Burnley,Chelsea,23-24,1.0,4.0,AWAY,1.0,1.0,D,S Attwell,10.0,9.0,3.0,5.0,11.0,8.0,7.0,3.0,2.0,4.0,0.0,0.0,Chelsea,Away Team Win,5.0,-3.0,3.0,E0-07/10/2023-15:00-Burnley-Chelsea
E0,07/10/2023,15:00,Everton,Bournemouth,23-24,3.0,0.0,HOME,2.0,0.0,H,D Coote,25.0,11.0,8.0,4.0,14.0,15.0,8.0,7.0,1.0,2.0,0.0,0.0,Everton,Home Team Win,3.0,3.0,-3.0,E0-07/10/2023-15:00-Everton-Bournemouth
E0,07/10/2023,15:00,Fulham,Sheffield United,23-24,3.0,1.0,HOME,0.0,0.0,D,S Barrott,20.0,5.0,6.0,2.0,8.0,10.0,9.0,4.0,1.0,2.0,0.0,0.0,Fulham,Home Team Win,4.0,2.0,-2.0,E0-07/10/2023-15:00-Fulham-Sheffield United
E0,07/10/2023,15:00,Man United,Brentford,23-24,2.0,1.0,HOME,0.0,1.0,A,A Madley,21.0,11.0,8.0,3.0,10.0,17.0,7.0,5.0,0.0,5.0,0.0,0.0,Man United,Home Team Win,3.0,1.0,-1.0,E0-07/10/2023-15:00-Man United-Brentford
E0,07/10/2023,17:30,Crystal Palace,Nott'm Forest,23-24,0.0,0.0,DRAW,0.0,0.0,D,C Pawson,8.0,16.0,2.0,5.0,7.0,12.0,3.0,7.0,0.0,1.0,0.0,0.0,Draw,Draw,0.0,0.0,0.0,E0-07/10/2023-17:30-Crystal Palace-Nott'm Forest
E0,08/10/2023,14:00,Brighton,Liverpool,23-24,2.0,2.0,DRAW,1.0,2.0,A,A Taylor,14.0,14.0,3.0,4.0,12.0,20.0,8.0,1.0,1.0,2.0,0.0,0.0,Draw,Draw,4.0,0.0,0.0,E0-08/10/2023-14:00-Brighton-Liverpool
E0,08/10/2023,14:00,West Ham,Newcastle,23-24,2.0,2.0,DRAW,1.0,0.0,H,P Bankes,5.0,10.0,3.0,3.0,11.0,18.0,4.0,2.0,3.0,3.0,0.0,0.0,Draw,Draw,4.0,0.0,0.0,E0-08/10/2023-14:00-West Ham-Newcastle
E0,08/10/2023,14:00,Wolves,Aston Villa,23-24,1.0,1.0,DRAW,0.0,0.0,D,R Jones,8.0,18.0,3.0,4.0,19.0,9.0,2.0,10.0,2.0,2.0,1.0,0.0,Draw,Draw,2.0,0.0,0.0,E0-08/10/2023-14:00-Wolves-Aston Villa
E0,08/10/2023,16:30,Arsenal,Man City,23-24,1.0,0.0,HOME,0.0,0.0,D,M Oliver,12.0,4.0,2.0,1.0,8.0,7.0,5.0,4.0,2.0,3.0,0.0,0.0,Arsenal,Home Team Win,1.0,1.0,-1.0,E0-08/10/2023-16:30-Arsenal-Man City
E0,21/10/2023,12:30,Liverpool,Everton,23-24,2.0,0.0,HOME,0.0,0.0,D,C Pawson,26.0,6.0,6.0,1.0,9.0,9.0,12.0,4.0,1.0,1.0,0.0,1.0,Liverpool,Home Team Win,2.0,2.0,-2.0,E0-21/10/2023-12:30-Liverpool-Everton
E0,21/10/2023,15:00,Bournemouth,Wolves,23-24,1.0,2.0,AWAY,1.0,0.0,H,P Tierney,7.0,20.0,4.0,7.0,15.0,10.0,3.0,12.0,2.0,6.0,1.0,0.0,Wolves,Away Team Win,3.0,-1.0,1.0,E0-21/10/2023-15:00-Bournemouth-Wolves
